Time [s],Channel 0
7.819061320,0
7.819071680,1
7.819246640,0
7.819254760,1
7.819430200,0
7.819438320,1
7.819613800,0
7.819621880,1
7.819797360,0
7.820199960,1
7.823723520,0
7.824789480,1
7.825014440,0
7.825023400,1
7.825247200,0
7.825256280,1
7.825479960,0
7.825488920,1
7.825712680,0
7.825719320,1
7.826448720,0
7.826853240,1
7.826995840,0
7.827005480,1
7.827149040,0
7.827226880,1
7.830157000,0
7.830658000,1
7.830959560,0
7.830968760,1
7.831274280,0
7.831283520,1
7.831589000,0
7.831598280,1
7.831903760,0
7.831910160,1
7.833573040,0
7.833975240,1
7.834118440,0
7.834127520,1
7.834271600,0
7.834349040,1
7.837279600,0
7.838573840,1
7.838784760,0
7.838804720,1
7.839017480,0
7.839037480,1
7.839250240,0
7.839270760,1
7.839482960,0
7.839494200,1
7.839668320,0
7.839677160,1
7.839851880,0
7.839860640,1
7.840035480,0
7.840044280,1
7.840219040,0
7.840624840,1
7.840768880,0
7.840777120,1
7.840922080,0
7.840998800,1
7.843930240,0
7.883501120,1
7.966921120,0
7.967716720,1
7.967933160,0
7.967949440,1
7.968165880,0
7.968182120,1
7.968398640,0
7.968414800,1
7.968631360,0
7.968641480,1
7.968816640,0
7.968824560,1
7.969000240,0
7.969008120,1
7.969183840,0
7.969191800,1
7.969367400,0
7.969769920,1
7.973387960,0
7.973450800,1
7.973506920,0
7.973536320,1
7.973628160,0
7.973656360,1
7.973719880,0
7.973764080,1
7.973800200,0
7.973829160,1
7.973951720,0
7.973982600,1
7.974034600,0
7.974086040,1
7.974148480,0
7.974176040,1
7.974235000,0
7.974264040,1
7.974331000,0
7.974359160,1
7.974584560,0
7.974593280,1
7.974817280,0
7.974825880,1
7.975050040,0
7.975058720,1
7.975282760,0
7.975289200,1
7.976018840,0
7.976423160,1
7.976565880,0
7.976575440,1
7.976719040,0
7.976796840,1
7.979727040,0
7.980227800,1
7.980529560,0
7.980538640,1
7.980844280,0
7.980853280,1
7.981159040,0
7.981168080,1
7.981473800,0
7.981480040,1
7.983143040,0
7.983545200,1
7.983688440,0
7.983697480,1
7.983841600,0
7.983919000,1
7.986849680,0
7.988142600,1
7.988354760,0
7.988373680,1
7.988587560,0
7.988607040,1
7.988820280,0
7.988839280,1
7.989053000,0
7.989064000,1
7.989238320,0
7.989247080,1
7.989422000,0
7.989430680,1
7.989605480,0
7.989614200,1
7.989789080,0
7.990194760,1
7.990338960,0
7.990347000,1
7.990492160,0
7.990568760,1
7.993500320,0
8.000264040,1
8.032844760,0
8.066707840,1
8.099312720,0
8.183169880,1
8.215917800,0
8.256613120,1
8.256827720,0
8.256844920,1
8.257060520,0
8.257078040,1
8.257293240,0
8.257310440,1
8.257526000,0
8.257536520,1
8.257711320,0
8.257719560,1
8.257894880,0
8.257903120,1
8.258078480,0
8.258086760,1
8.258262040,0
8.258664680,1
8.262300280,0
8.262324080,1
8.262614960,0
8.262638600,1
8.262929760,0
8.262953520,1
8.263244520,0
8.263255360,1
8.263479560,0
8.263487400,1
8.263712320,0
8.263720240,1
8.263945040,0
8.263952920,1
8.264177760,0
8.264183680,1
8.264913840,0
8.265317960,1
8.265460560,0
8.265470200,1
8.265613720,0
8.265691600,1
8.268621640,0
8.269122200,1
8.269424400,0
8.269433120,1
8.269739160,0
8.269747880,1
8.270053880,0
8.270062680,1
8.270368640,0
8.270374720,1
8.272037920,0
8.272440040,1
8.272583040,0
8.272592280,1
8.272736200,0
8.272813760,1
8.275744240,0
8.277036680,1
8.277249600,0
8.277267920,1
8.277482360,0
8.277500640,1
8.277715080,0
8.277733400,1
8.277947800,0
8.277958640,1
8.278133160,0
8.278141640,1
8.278316680,0
8.278325200,1
8.278500280,0
8.278508800,1
8.278683880,0
8.279089520,1
8.279233680,0
8.279241800,1
8.279386840,0
8.279463520,1
8.282394960,0
8.296021880,1
8.296236320,0
8.296254160,1
8.296469080,0
8.296487160,1
8.296701800,0
8.296719680,1
8.296934560,0
8.296945160,1
8.297119840,0
8.297128240,1
8.297303440,0
8.297311840,1
8.297487000,0
8.297495360,1
8.297670600,0
8.298073280,1
8.301708640,0
8.301742600,1
8.302023360,0
8.302056760,1
8.302338080,0
8.302372040,1
8.302652840,0
8.302664320,1
8.399104680,0
8.449998840,1
8.565870200,0
8.583211200,1
8.583425160,0
8.583442800,1
8.583657960,0
8.583675920,1
8.583890640,0
8.583908360,1
8.584123440,0
8.584134120,1
8.584308720,0
8.584317120,1
8.584492280,0
8.584500680,1
8.584675880,0
8.584684320,1
8.584859440,0
8.585262160,1
8.588897520,0
8.588930040,1
8.589212240,0
8.589245600,1
8.589526960,0
8.589559680,1
8.589841720,0
8.589853240,1
8.590076800,0
8.590085160,1
8.590309600,0
8.590318040,1
8.590542320,0
8.590550720,1
8.590775040,0
8.590781320,1
8.591511120,0
8.591915520,1
8.592057880,0
8.592067760,1
8.592211080,0
8.592289080,1
8.595219040,0
8.595719880,1
8.596021800,0
8.596030800,1
8.596336560,0
8.596345520,1
8.596651320,0
8.596660240,1
8.596966040,0
8.596972240,1
8.598635320,0
8.599037560,1
8.599180320,0
8.599189840,1
8.599333480,0
8.599411280,1
8.602341480,0
8.603636040,1
8.603846960,0
8.603867160,1
8.604079680,0
8.604099600,1
8.604312400,0
8.604332960,1
8.604545160,0
8.604556320,1
8.604730480,0
8.604739320,1
8.604914080,0
8.604922920,1
8.605097640,0
8.605106520,1
8.605281240,0
8.605687160,1
8.605830760,0
8.605839440,1
8.605983920,0
8.606061040,1
8.608992000,0
8.716118720,1
8.750001760,0
8.816318440,1
8.852323640,0
8.853619520,1
8.853828680,0
8.853850280,1
8.854061440,0
8.854082320,1
8.854294160,0
8.854315520,1
8.854526920,0
8.854538240,1
8.854712240,0
8.854721280,1
8.854895840,0
8.854904840,1
8.855079400,0
8.855088440,1
8.855263000,0
8.855668840,1
8.855812840,0
8.855821080,1
8.855966040,0
8.856042800,1
8.858974200,0
8.865771520,1
8.899596760,0
8.966466000,1
8.999673000,0
9.015765800,1
9.166338680,0
9.315965840,1
9.352288720,0
9.353581080,1
9.353792400,0
9.353811800,1
9.354025120,0
9.354045000,1
9.354257880,0
9.354277280,1
9.354490600,0
9.354501760,1
9.354675960,0
9.354684720,1
9.354859520,0
9.354868280,1
9.355043080,0
9.355051880,1
9.355226680,0
9.355631960,1
9.355777760,0
9.355784280,1
9.355930920,0
9.356006280,1
9.358939240,0
9.382903840,1
9.450711200,0
9.465972280,1
9.499528240,0
9.583134600,1
9.583352760,0
9.583367400,1
9.583585480,0
9.583600320,1
9.583818280,0
9.583832800,1
9.584051000,0
9.584060520,1
9.584236280,0
9.584243600,1
9.584419880,0
9.584427240,1
9.584603480,0
9.584610880,1
9.584787080,0
9.585189360,1
9.588666160,0
9.589784800,1
9.590002640,0
9.590017400,1
9.590235400,0
9.590250240,1
9.590468120,0
9.590482800,1
9.590700880,0
9.590710480,1
9.590886200,0
9.590893600,1
9.591069800,0
9.591077200,1
9.591253360,0
9.591260800,1
9.591436920,0
9.591841440,1
9.591988160,0
9.591993840,1
9.592141360,0
9.592215960,1
9.595149920,0
9.595652600,1
9.595948040,0
9.595961320,1
9.596262800,0
9.596276160,1
9.596577520,0
9.596590800,1
9.596892280,0
9.596900680,1
9.598561480,0
9.598963720,1
9.599110440,0
9.599116080,1
9.599263600,0
9.599338160,1
9.649511400,0
9.682908320,1
9.799211400,0
9.833116800,1
9.833334520,0
9.833349720,1
9.833567240,0
9.833582280,1
9.833800000,0
9.833815200,1
9.834032720,0
9.834042600,1
9.834218000,0
9.834225520,1
9.834401600,0
9.834409200,1
9.834585200,0
9.834592720,1
9.834768800,0
9.835171200,1
9.838645360,0
9.839768560,1
9.839984240,0
9.840001160,1
9.840216960,0
9.840233480,1
9.840449720,0
9.840466600,1
9.840682400,0
9.840692760,1
9.840867760,0
9.840875800,1
9.841051320,0
9.841059320,1
9.841234920,0
9.841242960,1
9.841418480,0
9.841822560,1
9.842125920,0
9.842197520,1
9.845135280,0
9.845636480,1
9.845929600,0
9.845944680,1
9.846244360,0
9.846259400,1
9.846559120,0
9.846574240,1
9.846873840,0
9.846882840,1
9.848543040,0
9.848945200,1
9.849093440,0
9.849097680,1
9.849246640,0
9.849319880,1
9.852255320,0
9.853552480,1
9.853755720,0
9.853781880,1
9.853988480,0
9.854013560,1
9.854221200,0
9.854248040,1
9.854453920,0
9.854465920,1
9.854639320,0
9.854648960,1
9.854822880,0
9.854832520,1
9.855006480,0
9.855016120,1
9.855190040,0
9.855595480,1
9.855741520,0
9.855747840,1
9.855894680,0
9.855969840,1
9.858903080,0
9.866171080,1
9.950510160,0
9.983473880,1
10.050427080,0
10.083097640,1
10.083316480,0
10.083330640,1
10.083549160,0
10.083563320,1
10.083781960,0
10.083796000,1
10.084014680,0
10.084024040,1
10.084199920,0
10.084207120,1
10.084383520,0
10.084390720,1
10.084567080,0
10.084574320,1
10.084750680,0
10.085153000,1
10.088635840,0
10.089745760,1
10.089966680,0
10.089979000,1
10.090199360,0
10.090211880,1
10.090432160,0
10.090444560,1
10.090664880,0
10.090673440,1
10.091400920,0
10.091805400,1
10.091950720,0
10.091957760,1
10.092103920,0
10.092179680,1
10.095112160,0
10.095614800,1
10.095911800,0
10.095924280,1
10.096226560,0
10.096238960,1
10.096541320,0
10.096553640,1
10.096856040,0
10.096864080,1
10.098525240,0
10.098927600,1
10.099073160,0
10.099079960,1
10.099226320,0
10.099301840,1
10.102234560,0
10.103536520,1
10.103737480,0
10.103765760,1
10.103970160,0
10.103998360,1
10.104202920,0
10.104233840,1
10.104435680,0
10.104447920,1
10.104621080,0
10.104630800,1
10.104804640,0
10.104814360,1
10.104988240,0
10.104998040,1
10.105171800,0
10.105577400,1
10.105723000,0
10.105729760,1
10.105876200,0
10.105951720,1
10.108884520,0
10.133438320,1
10.200409880,0
10.216523320,1
10.249474080,0
10.333075840,1
10.333298920,0
10.333309640,1
10.333531720,0
10.333542240,1
10.333764400,0
10.333775000,1
10.333997200,0
10.334004880,1
10.334733200,0
10.335134800,1
10.338631280,0
10.339725320,1
10.339948960,0
10.339959080,1
10.340181720,0
10.340191880,1
10.340414440,0
10.340424560,1
10.340647240,0
10.340654560,1
10.341383280,0
10.341787280,1
10.341932400,0
10.341939640,1
10.342085560,0
10.342161480,1
10.345093840,0
10.345594160,1
10.345894080,0
10.345904320,1
10.346208840,0
10.346219080,1
10.346523560,0
10.346533880,1
10.346838320,0
10.346845280,1
10.348507560,0
10.348909200,1
10.349055480,0
10.349061600,1
10.349208680,0
10.349283600,1
10.352217080,0
10.353500520,1
10.353720240,0
10.353733760,1
10.353953000,0
10.353966320,1
10.354185720,0
10.354199520,1
